Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),route 53,Amazon Route 53,0,4.5,54,USD,"Hosted Zones (1), Basic Checks Within AWS (1)"
My Estimate,US East (N. Virginia),cf,Amazon CloudFront,0,435,5220,USD,"Data transfer out to internet (5000 GB per month), Number of requests (HTTPS) (10000000 per month)"
My Estimate,US East (N. Virginia),s3,S3 Standard,0,439,5268,USD,S3 Standard storage (5000 GB per month)
My Estimate,US East (N. Virginia),s3,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),lb,Application Load Balancer,0,1200.85,14410.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),ec2,Amazon EC2,0,2867.24,34406.88,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 3 Year No Upfront), Storage amount (5000 GB), Instance type (m5a.4xlarge)"
My Estimate,US East (N. Virginia),db,Amazon RDS for PostgreSQL,0,4518.8,54225.6,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB per month), Nodes (2), Instance Type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
